slot,root_id,super_class,class,sub_class,cell_type,hemibrain_type,consolidated_type,side,nerve,nt,sign
95,720575940615786897,central,,,CB2251,,CB2251,right,,GABA,-1
96,720575940615799308,central,,,,SMP109,SMP109,left,,ACH,1
97,720575940615888897,central,,,,SMP323,SMP323,right,,ACH,1
98,720575940615894614,central,,,CB3351,,CB3351,left,,GABA,-1
99,720575940615941062,central,,,CB1300,,CB1300,right,,ACH,1
100,720575940615951163,central,,,CB1327,,CB1327,left,,ACH,1
101,720575940615984596,central,TuBu,,,TuBu08,TuBu09,left,,ACH,1
102,720575940616070283,central,,,,SMP459,SMP459,left,,ACH,1
103,720575940616169578,central,ALLN,,,lLN2T_b,lLN2T_b,left,,SER,1
104,720575940616203637,central,,,CB2534,,CB2534,right,,ACH,1
105,720575940616455483,central,,,CB0981,,CB0981,right,,GABA,-1
106,720575940616457670,central,,,SMP569b,SMP569,SMP569b,left,,ACH,1
107,720575940616511961,central,,,SMP570b,SMP570,SMP570b,left,,ACH,1
108,720575940616525429,central,,,,LHAV2g2,LHAV2g2_b,left,,ACH,1
109,720575940616546205,central,,,CB1200,,CB1200,left,,ACH,1
110,720575940616657989,central,CX,columnar,,FC2C,FC2C,left,,ACH,1
111,720575940616887966,central,Kenyon_Cell,,KCab,KCab-m,KCab,right,,ACH,1
112,720575940616936731,central,,,,PLP115_b,PLP115_b,right,,ACH,1
113,720575940617276889,central,,,,PVLP008,PVLP008,right,,GLUT,-1
114,720575940617279489,central,,,,WED151,WED151,right,,ACH,1
115,720575940617319097,central,,,CB1327,,CB1327,left,,ACH,1
116,720575940617337413,central,CX,columnar,,"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",vDeltaK,right,,ACH,1
117,720575940617362392,central,,,CB2430,,CB2430,left,,GABA,-1
118,720575940617453083,central,,,CB3434,,CB3434,right,,ACH,1
119,720575940617476386,central,,,CB2089,,CB2089,left,,ACH,1
120,720575940617534235,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
121,720575940617577617,central,,,,"ATL017,ATL018",ATL017,left,,SER,1
122,720575940617672920,central,,,,PS172,PS172,right,,GLUT,-1
123,720575940617820929,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
124,720575940617898456,central,mAL,,mAL,"mAL1,mAL2A,mAL2B,mAL3A,mAL3B,mAL4,mAL5A,mAL5B,mAL6",mAL_f2,left,,GABA,-1
125,720575940617917760,central,ALPN,uniglomerular,,VM3_adPN,VM3_adPN,right,,ACH,1
126,720575940617938752,central,ALLN,,CB1473,,CB1473,left,,GABA,-1
127,720575940618245797,central,,,CB1109,,CB1109,left,,ACH,1
128,720575940618292416,central,,,,WEDPN1A,WEDPN1A,left,,GABA,-1
129,720575940618409797,central,,,CB1076,,CB1076,right,,ACH,1
130,720575940618469725,central,Kenyon_Cell,,KCapbp-m,KCab-m,KCapbp-m,left,,ACH,1
131,720575940618570661,central,TuBu,,TuBu01a,TuBu01,TuBu01a,right,,ACH,1
132,720575940618627377,central,CX,,,PFNa,PFNa,right,,ACH,1
133,720575940618700573,central,Kenyon_Cell,,KCapbp-m,KCab-m,KCapbp-m,left,,ACH,1
134,720575940618849877,central,,,CB3163,,CB3163,left,,GLUT,-1
135,720575940618884289,central,,,,WED162,WED162,right,,ACH,1
136,720575940618942923,central,,,,CL014,CL014,right,,GLUT,-1
137,720575940618945985,central,CX,tangential,CB.FB6E3,,FB6C,left,,GLUT,-1
138,720575940618955344,central,,,SLP300b,SLP300,SLP300b,right,,GLUT,-1
139,720575940618995510,central,,,CB0221,,CB0221,left,,ACH,1
140,720575940619203925,central,ALPN,multiglomerular,,M_vPNml53,M_vPNml53,left,,GABA,-1
141,720575940619205103,central,Kenyon_Cell,,KCab,KCab-s,KCab,left,,ACH,1
142,720575940619211361,central,,,CB1042,,CB1042,right,,GABA,-1
143,720575940619376519,central,,,,LHPV5a5,LHPV5a5,left,,ACH,1
144,720575940619412544,central,,,,AVLP263,AVLP263,right,,ACH,1
145,720575940619423398,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
146,720575940619428272,central,CX,columnar,,"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",vDeltaM,left,,ACH,1
147,720575940619536331,central,,,,CL003,CL003,right,,GLUT,-1
148,720575940619565632,central,,,CB3037,,CB3037,left,,GLUT,-1
149,720575940619597761,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
150,720575940619670465,central,,,CB2342,,CB2342,left,,GLUT,-1
151,720575940619675200,central,,,LAL144a,LAL144,LAL144a,left,,ACH,1
152,720575940619693003,central,Kenyon_Cell,,KCab,KCab-m,KCab,right,,ACH,1
153,720575940619738612,central,,,CB3587,,CB3587,right,,GABA,-1
154,720575940619814997,central,,,SMP075b,SMP075,SMP075b,right,,GLUT,-1
155,720575940619875060,central,,,CB2736,,CB2736,right,,GLUT,-1
156,720575940619970586,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
157,720575940620010887,central,,,,CL152,CL152,left,,GLUT,-1
158,720575940620014203,central,CX,,,PFR,PFR,left,,SER,1
159,720575940620159070,central,,,CB1171,,CB1171,right,,GLUT,-1
160,720575940620197759,central,,,CB1654,,CB1654,left,,ACH,1
161,720575940620252075,central,,,,LHPV4m1,LHPV4m1,right,,ACH,1
162,720575940620299373,central,,,,CL090_c,CL090_c,left,,ACH,1
163,720575940620300737,central,,,CB2447,,CB2447,left,,ACH,1
164,720575940620402345,central,,,CB2357,,CB2357,right,,GABA,-1
165,720575940620529268,central,,,SLP028b,SLP028,SLP028b,right,,GLUT,-1
166,720575940620581748,central,,,,SAD021_a,SAD021_a,right,,GABA,-1
167,720575940620622691,central,ALPN,multiglomerular,CB3457,,CB3457,right,,GABA,-1
168,720575940620625646,central,,,CB0930,,CB0930,right,,ACH,1
169,720575940620654452,central,,,CB1368,,CB1368,left,,GLUT,-1
170,720575940620767414,central,,,SMPp&v1A_S03,SMP336,SMPp&v1A_S03,left,,GLUT,-1
171,720575940620799397,central,,,CB2514,,CB2514,left,,ACH,1
172,720575940620822593,central,Kenyon_Cell,,KCapbp-ap2,KCab-ap2,KCapbp-ap2,right,,ACH,1
173,720575940620830448,central,,,,PS209,PS209,right,,ACH,1
174,720575940620931312,central,ALPN,multiglomerular,,"VP5+_l2PN,VP5+VP2_l2PN",VP5+_l2PN,left,,ACH,1
175,720575940621042928,central,,,,CL115,CL115,left,,GABA,-1
176,720575940621101481,central,,,,CL086_e,CL086_e,left,,ACH,1
177,720575940621230739,central,,,CB2574,,CB2574,left,,ACH,1
178,720575940621325150,central,,,,SMP286,SMP286,right,,GLUT,-1
179,720575940621341716,central,CX,ring_neuron,,ER2,ER2,left,,GABA,-1
180,720575940621355759,central,,,CB1779,,CB1779,left,,ACH,1
181,720575940621437093,central,,,,IB051,IB051,left,,ACH,1
182,720575940621441494,central,ALLN,,,v2LN33,v2LN33,right,,GLUT,-1
183,720575940621463334,central,,,CB0975,,CB0975,left,,ACH,1
184,720575940621640150,central,,,CB3607,,CB3607,left,,ACH,1
185,720575940621708638,central,Kenyon_Cell,,KCab,KCab-c,KCab,left,,ACH,1
186,720575940621741556,central,,,CB3374,,CB3374,right,,ACH,1
187,720575940621755124,central,LHCENT,,,LHCENT13,LHCENT13_a,left,,GABA,-1
188,720575940621773406,central,,,CB3257,,CB3257,left,,ACH,1
189,720575940621825630,central,DAN,,,PAM11,PAM11,left,,DA,1
190,720575940621871228,central,,,CB2881,,CB2881,right,,GLUT,-1
191,720575940621922398,central,Kenyon_Cell,,KCab,KCab-s,KCab,right,,ACH,1
192,720575940621939071,central,ALIN,,,ALIN2,ALIN2,left,,GLUT,-1
193,720575940621951514,central,,,CB3219,,CB3219,left,,ACH,1
194,720575940621952425,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
195,720575940621953118,central,,,,,,left,,ACH,1
196,720575940622018217,central,,,,LAL040,LAL040,left,,GABA,-1
197,720575940622054497,central,ALLN,,,lLN2P_a,lLN2P_a,left,,GLUT,-1
198,720575940622082913,central,,,,PLP181,PLP181,left,,GLUT,-1
199,720575940622214920,central,,,,PLP190,PLP190,left,,ACH,1
200,720575940622247861,central,,,CB0129,,CB0129,left,,ACH,1
201,720575940622293227,central,,,CB2624,,CB2624,left,,ACH,1
202,720575940622362109,central,,,CB0977,,CB0977,right,,GLUT,-1
203,720575940622404632,central,,,CB1178,,CB1178,left,,GLUT,-1
204,720575940622525654,central,,,CB2034,,CB2034,right,,ACH,1
205,720575940622546323,central,,,CB1414,,CB1414,left,,GABA,-1
206,720575940622556085,central,,,CB1997,,CB1997,right,,GLUT,-1
207,720575940622558941,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
208,720575940622584534,central,,,,,CB3899,center,,GLUT,-1
209,720575940622597078,central,,,CB1770,,s-CPDN3A,left,,GLUT,-1
210,720575940622715909,central,,,CB3651,,CB3651,left,,ACH,1
211,720575940622793707,central,,,CB2434,,CB2434,left,,GLUT,-1
212,720575940622821325,central,Kenyon_Cell,,KCab,KCab-m,KCab,right,,ACH,1
213,720575940622879882,central,,,CB0779,,CB0779,right,,GABA,-1
214,720575940622930957,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
215,720575940623004711,central,CX,columnar,,hDeltaF,hDeltaF,left,,ACH,1
216,720575940623042440,central,,,,SLP188,SLP188,left,,GABA,-1
217,720575940623083519,central,,,,"SMP602,SMP094",SMP094,left,,GLUT,-1
218,720575940623171308,central,,,,,,left,,ACH,1
219,720575940623228967,central,,,,PS170,PS170,left,,ACH,1
220,720575940623307447,central,ALPN,multiglomerular,CB1321,"VP1m+VP2_lvPN1,VP1m+VP2_lvPN2",CB1321,left,,ACH,1
221,720575940623356651,central,,,,SMP447,SMP447,right,,GLUT,-1
222,720575940623454216,central,,,,PVLP033,PVLP033,left,,GABA,-1
223,720575940623495421,central,,,CB1502,,CB1502,left,,GABA,-1
224,720575940623498476,central,CX,,,"PFNm,PFNp",PFNm,left,,ACH,1
225,720575940623619335,central,TuBu,,,TuBu02,TuBu02,left,,ACH,1
226,720575940623748298,central,,,CB1660,,CB1660,right,,GLUT,-1
227,720575940623879312,central,Kenyon_Cell,,KCab,KCab-s,KCab,left,,ACH,1
228,720575940623881872,central,Kenyon_Cell,,KCab,KCab-s,KCab,left,,ACH,1
229,720575940623972610,central,,,CB1384,,CB1384,left,,ACH,1
230,720575940624021483,central,Kenyon_Cell,,KCapbp-m,KCab-m,KCapbp-m,left,,ACH,1
